,t,x,y,z
437,4.37,-3.649939359041723,-0.9603457856355131,25.849616504690623
438,4.38,-3.397592028527844,-1.0373662193084079,25.204047268846995
439,4.39,-3.177300248364206,-1.128638994703761,24.575876538725478
440,4.4,-2.987243223709069,-1.2316576848230718,23.965005802850982
441,4.41,-2.825566134349263,-1.3445476338347717,23.371264093539423
442,4.42,-2.6904395350597294,-1.4659848772412065,22.794453660368898
443,4.43,-2.580105651673637,-1.5951208806146413,22.234381723706658
444,4.44,-2.4929134595969673,-1.7315147002886633,21.69088238586322
445,4.45,-2.4273443589525874,-1.8750732796712197,21.163831924846864
446,4.46,-2.382030124314297,-2.0259999829082274,20.65315995560293
447,4.47,-2.355764635876952,-2.1847510594384723,20.158858335765732
448,4.48,-2.347510712669663,-2.351999470082593,19.680989216001212
449,4.49,-2.3564031800496816,-2.528605342752217,19.2196932762931
450,4.5,-2.3817491212406723,-2.715592229531498,18.775198931323146
451,4.51,-2.4230260905331926,-2.9141282808841167,18.347833111535643
452,4.5200000000000005,-2.4798789058007378,-3.1255114171839105,17.93803411357489
453,4.53,-2.552115490201736,-3.3511575469733335,17.546366948337504
454,4.54,-2.6397020959903976,-3.5925908424665316,17.17354158256278
455,4.55,-2.7427581149002522,-3.851435024781517,16.82043445783153
456,4.5600000000000005,-2.8615505564748442,-4.12940452423196,16.48811366691009
457,4.57,-2.9964881542614252,-4.428294255372125,16.177868159133475
458,4.58,-3.1481149357027958,-4.749966573442967,15.891241320054911
459,4.59,-3.317102960188242,-5.096333750083423,15.630069209081684
460,4.6000000000000005,-3.5042437860886104,-5.469334014532525,15.396523620920917
461,4.61,-3.7104380666373413,-5.870898847426262,15.193159934646783
462,4.62,-3.936682491409857,-6.302908787762971,15.022969391969347
463,4.63,-4.184053080909561,-6.767134528006674,14.889434957366197
464,4.64,-4.453683604183418,-7.265159549623266,14.796589198689956
465,4.65,-4.746737624529012,-7.798280035139708,14.749071616738899
466,4.66,-5.064372392796171,-8.367377359094935,14.752181464356022
467,4.67,-5.407692516855764,-8.97275823193003,14.811920243369226
