,t,k=0,k=1,k=2,k=3,k=4,k=5,k=6
128,1.28,0.993184943783266,0.993184943783266,0.993184943783266,0.993184943783266,0.993184943783266,0.993184943783266,0.993184943783266
129,1.29,0.986118705723651,0.986118705723651,0.986118705723651,0.986118705723651,0.986118705723651,0.986118705723651,0.986118705723651
130,1.3,0.976587684718687,0.976587684718687,0.976587684718687,0.976587684718687,0.976587684718687,0.976587684718687,0.976587684718687
131,1.31,0.9646157033552799,0.9646157033552799,0.9646157033552799,0.9646157033552799,0.9646157033552799,0.9646157033552799,0.9646157033552799
132,1.32,0.9502326853493637,0.9502326853493637,0.9502326853493637,0.9502326853493637,0.9502326853493637,0.9502326853493637,0.9502326853493637
133,1.33,0.9334745807522006,0.9334745807522006,0.9334745807522006,0.9334745807522006,0.9334745807522006,0.9334745807522006,0.9334745807522006
134,1.34,0.9143832760939837,0.9143832760939837,0.9143832760939837,0.9143832760939837,0.9143832760939837,0.9143832760939837,0.9143832760939837
135,1.35,0.8930064896893352,0.8930064896893352,0.8930064896893352,0.8930064896893352,0.8930064896893352,0.8930064896893352,0.8930064896893352
136,1.36,0.8693976523663819,0.8693976523663819,0.8693976523663819,0.8693976523663819,0.8693976523663819,0.8693976523663819,0.8693976523663819
137,1.37,0.8436157739175242,0.8436157739175242,0.8436157739175242,0.8436157739175242,0.8436157739175242,0.8436157739175242,0.8436157739175242
138,1.3800000000000001,0.8157252956057006,0.8157252956057006,0.8157252956057006,0.8157252956057006,0.8157252956057006,0.8157252956057006,0.8157252956057006
139,1.3900000000000001,0.7857959290948068,0.7857959290948068,0.7857959290948068,0.7857959290948068,0.7857959290948068,0.7857959290948068,0.7857959290948068
140,1.4000000000000001,0.7539024822068574,0.7539024822068574,0.7539024822068574,0.7539024822068574,0.7539024822068574,0.7539024822068574,0.7539024822068574
141,1.41,0.720124671941409,0.720124671941409,0.720124671941409,0.720124671941409,0.720124671941409,0.720124671941409,0.720124671941409
142,1.42,0.6845469252245965,0.6845469252245965,0.6845469252245965,0.6845469252245965,0.6845469252245965,0.6845469252245965,0.6845469252245965
143,1.43,0.6472581678858076,0.6472581678858076,0.6472581678858076,0.6472581678858076,0.6472581678858076,0.6472581678858076,0.6472581678858076
144,1.44,0.6083516023894431,0.6083516023894431,0.6083516023894431,0.6083516023894431,0.6083516023894431,0.6083516023894431,0.6083516023894431
145,1.45,0.567924474877318,0.567924474877318,0.567924474877318,0.567924474877318,0.567924474877318,0.567924474877318,0.567924474877318
146,1.46,0.5260778321039765,0.5260778321039765,0.5260778321039765,0.5260778321039765,0.5260778321039765,0.5260778321039765,0.5260778321039765
147,1.47,0.4829162688724549,0.4829162688724549,0.4829162688724549,0.4829162688724549,0.4829162688724549,0.4829162688724549,0.4829162688724549
148,1.48,0.43854766660177275,0.43854766660177275,0.43854766660177275,0.43854766660177275,0.43854766660177275,0.43854766660177275,0.43854766660177275
149,1.49,0.39308292367959596,0.39308292367959596,0.39308292367959596,0.39308292367959596,0.39308292367959596,0.39308292367959596,0.39308292367959596
150,1.5,0.3466356782740508,0.3466356782740508,0.3466356782740508,0.3466356782740508,0.3466356782740508,0.3466356782740508,0.3466356782740508
151,1.51,0.29932202429751403,0.29932202429751403,0.29932202429751403,0.29932202429751403,0.29932202429751403,0.29932202429751403,0.29932202429751403
152,1.52,0.2512602212323224,0.2512602212323224,0.2512602212323224,0.2512602212323224,0.2512602212323224,0.2512602212323224,0.2512602212323224
153,1.53,0.20257039854368525,0.20257039854368525,0.20257039854368525,0.20257039854368525,0.20257039854368525,0.20257039854368525,0.20257039854368525
154,1.54,0.1533742554186147,0.1533742554186147,0.1533742554186147,0.1533742554186147,0.1533742554186147,0.1533742554186147,0.1533742554186147
155,1.55,0.1037947565813692,0.1037947565813692,0.1037947565813692,0.1037947565813692,0.1037947565813692,0.1037947565813692,0.1037947565813692
156,1.56,0.05395582494571326,0.05395582494571326,0.05395582494571326,0.05395582494571326,0.05395582494571326,0.05395582494571326,0.05395582494571326
157,1.57,0.00398203187220305,0.00398203187220305,0.00398203187220305,0.00398203187220305,0.00398203187220305,0.00398203187220305,0.00398203187220305
158,1.58,-0.04600171419530722,-0.04600171419530722,-0.04600171419530722,-0.04600171419530722,-0.04600171419530722,-0.04600171419530722,-0.04600171419530722
159,1.59,-0.0958704799356915,-0.0958704799356915,-0.0958704799356915,-0.0958704799356915,-0.0958704799356915,-0.0958704799356915,-0.0958704799356915
160,1.6,-0.14549961941875808,-0.14549961941875808,-0.14549961941875808,-0.14549961941875808,-0.14549961941875808,-0.14549961941875808,-0.14549961941875808
161,1.61,-0.19476508565512826,-0.19476508565512826,-0.19476508565512826,-0.19476508565512826,-0.19476508565512826,-0.19476508565512826,-0.19476508565512826
162,1.62,-0.24354374064907497,-0.24354374064907497,-0.24354374064907497,-0.24354374064907497,-0.24354374064907497,-0.24354374064907497,-0.24354374064907497
163,1.6300000000000001,-0.29171366317935077,-0.29171366317935077,-0.29171366317935077,-0.29171366317935077,-0.29171366317935077,-0.29171366317935077,-0.29171366317935077
164,1.6400000000000001,-0.3391544535387136,-0.3391544535387136,-0.3391544535387136,-0.3391544535387136,-0.3391544535387136,-0.3391544535387136,-0.3391544535387136
165,1.6500000000000001,-0.38574753447046034,-0.38574753447046034,-0.38574753447046034,-0.38574753447046034,-0.38574753447046034,-0.38574753447046034,-0.38574753447046034
166,1.6600000000000001,-0.4313764475497834,-0.4313764475497834,-0.4313764475497834,-0.4313764475497834,-0.4313764475497834,-0.4313764475497834,-0.4313764475497834
167,1.67,-0.47592714426915145,-0.47592714426915145,-0.47592714426915145,-0.47592714426915145,-0.47592714426915145,-0.47592714426915145,-0.47592714426915145
168,1.68,-0.5192882711001531,-0.5192882711001531,-0.5192882711001531,-0.5192882711001531,-0.5192882711001531,-0.5192882711001531,-0.5192882711001531
169,1.69,-0.561351447819296,-0.561351447819296,-0.561351447819296,-0.561351447819296,-0.561351447819296,-0.561351447819296,-0.561351447819296
170,1.7,-0.602011538402094,-0.602011538402094,-0.602011538402094,-0.602011538402094,-0.602011538402094,-0.602011538402094,-0.602011538402094
171,1.71,-0.641166913808346,-0.641166913808346,-0.641166913808346,-0.641166913808346,-0.641166913808346,-0.641166913808346,-0.641166913808346
172,1.72,-0.6787197060017821,-0.6787197060017821,-0.6787197060017821,-0.6787197060017821,-0.6787197060017821,-0.6787197060017821,-0.6787197060017821
173,1.73,-0.7145760525691592,-0.7145760525691592,-0.7145760525691592,-0.7145760525691592,-0.7145760525691592,-0.7145760525691592,-0.7145760525691592
174,1.74,-0.7486463313273864,-0.7486463313273864,-0.7486463313273864,-0.7486463313273864,-0.7486463313273864,-0.7486463313273864,-0.7486463313273864
175,1.75,-0.7808453843322839,-0.7808453843322839,-0.7808453843322839,-0.7808453843322839,-0.7808453843322839,-0.7808453843322839,-0.7808453843322839
176,1.76,-0.8110927307290708,-0.8110927307290708,-0.8110927307290708,-0.8110927307290708,-0.8110927307290708,-0.8110927307290708,-0.8110927307290708
177,1.77,-0.839312767912567,-0.839312767912567,-0.839312767912567,-0.839312767912567,-0.839312767912567,-0.839312767912567,-0.839312767912567
178,1.78,-0.8654349604943119,-0.8654349604943119,-0.8654349604943119,-0.8654349604943119,-0.8654349604943119,-0.8654349604943119,-0.8654349604943119
179,1.79,-0.8893940166042817,-0.8893940166042817,-0.8893940166042817,-0.8893940166042817,-0.8893940166042817,-0.8893940166042817,-0.8893940166042817
180,1.8,-0.911130051086544,-0.911130051086544,-0.911130051086544,-0.911130051086544,-0.911130051086544,-0.911130051086544,-0.911130051086544
181,1.81,-0.930588735180942,-0.930588735180942,-0.930588735180942,-0.930588735180942,-0.930588735180942,-0.930588735180942,-0.930588735180942
182,1.82,-0.9477214323166866,-0.9477214323166866,-0.9477214323166866,-0.9477214323166866,-0.9477214323166866,-0.9477214323166866,-0.9477214323166866
183,1.83,-0.9624853196784398,-0.9624853196784398,-0.9624853196784398,-0.9624853196784398,-0.9624853196784398,-0.9624853196784398,-0.9624853196784398
184,1.84,-0.9748434952410386,-0.9748434952410386,-0.9748434952410386,-0.9748434952410386,-0.9748434952410386,-0.9748434952410386,-0.9748434952410386
185,1.85,-0.9847650700053294,-0.9847650700053294,-0.9847650700053294,-0.9847650700053294,-0.9847650700053294,-0.9847650700053294,-0.9847650700053294
186,1.86,-0.9922252452045692,-0.9922252452045692,-0.9922252452045692,-0.9922252452045692,-0.9922252452045692,-0.9922252452045692,-0.9922252452045692
187,1.87,-0.9972053742884205,-0.9972053742884205,-0.9972053742884205,-0.9972053742884205,-0.9972053742884205,-0.9972053742884205,-0.9972053742884205
188,1.8800000000000001,-0.9996930095296092,-0.9996930095296092,-0.9996930095296092,-0.9996930095296092,-0.9996930095296092,-0.9996930095296092,-0.9996930095296092
